catalogNo,brand,name,category,spec,unit,detectedSpecies,application,host,reactivity,conjugate,casNo,sampleType,listPrice,memberPrice,wholesalePrice,remark
BL302A,biosharp,BL302A 1*PBS缓冲液 无菌（细胞培养）,reagent,500ml,瓶,,,,,,,,70,15,30,
G4202-500ml,赛维尔,1*PBS(即用型、无菌)(0.01 M磷酸盐),reagent,500ml,瓶,,,,,,,,75,13.5,15,
P1020-500ml,Solarbio,1×PBS缓冲液 0.01M（PH=7.3±0.1）已过滤灭菌,reagent,500ml,瓶,,,,,,,,80,56,64,
ADS-F-KY001,艾迪生,超氧化物歧化酶(SOD)试剂盒-NBT法,reagent,48样,,,,,,,,,608,364.8,456,
ADS-F-KY001-96,艾迪生,超氧化物歧化酶(SOD)试剂盒-NBT法,reagent,96样,,,,,,,,,1155,693,866.25,
ADS-W-KY001,艾迪生,超氧化物歧化酶(SOD)试剂盒-NBT法,reagent,96样,,,,,,,,,1064,638.4,798,
ADS-W-KY001-196,艾迪生,超氧化物歧化酶(SOD)试剂盒-NBT法,reagent,196样,,,,,,,,,1976,1185.6,1482,
ADS-F-KY011,艾迪生,超氧化物歧化酶(SOD)试剂盒-WST-8法,reagent,48样,,,,,,,,,593,355.8,444.75,
ADS-F-KY011-96,艾迪生,超氧化物歧化酶(SOD)试剂盒-WST-8法,reagent,96样,,,,,,,,,1094,656.4,820.5,
ADS-W-KY011-48,艾迪生,超氧化物歧化酶(SOD)试剂盒-WST-8法,reagent,48样,,,,,,,,,608,364.8,456,
ADS-W-KY011,艾迪生,超氧化物歧化酶(SOD)试剂盒-WST-8法,reagent,96样,,,,,,,,,1049,629.4,786.75,
ADS-W-KY011-196,艾迪生,超氧化物歧化酶(SOD)试剂盒-WST-8法,reagent,196样,,,,,,,,,1946,1167.6,1459.5,
ADS-F-KY002,艾迪生,过氧化氢酶(CAT)试剂盒,reagent,48样,,,,,,,,,274,164.4,205.5,
ADS-F-KY002-96,艾迪生,过氧化氢酶(CAT)试剂盒,reagent,96样,,,,,,,,,517,310.2,387.75,
ADS-W-KY002-48,艾迪生,过氧化氢酶(CAT)试剂盒,reagent,48样,,,,,,,,,228,136.8,171,
ADS-W-KY002,艾迪生,过氧化氢酶(CAT)试剂盒,reagent,96样,,,,,,,,,410,246,307.5,
ADS-W-KY002-196,艾迪生,过氧化氢酶(CAT)试剂盒,reagent,196样,,,,,,,,,775,465,581.25,
ADS-F-KY003,艾迪生,过氧化物酶(POD)试剂盒,reagent,48样,,,,,,,,,441,264.6,330.75,
ADS-F-KY003-96,艾迪生,过氧化物酶(POD)试剂盒,reagent,96样,,,,,,,,,821,492.6,615.75,
ADS-W-KY003-48,艾迪生,过氧化物酶(POD)试剂盒,reagent,48样,,,,,,,,,471,282.6,353.25,
ADS-W-KY003,艾迪生,过氧化物酶(POD)试剂盒,reagent,96样,,,,,,,,,882,529.2,661.5,
ADS-W-KY003-196,艾迪生,过氧化物酶(POD)试剂盒,reagent,196样,,,,,,,,,1672,1003.2,1254,
ADS-F-KN005,艾迪生,苯丙氨酸解氨酶(PAL)试剂盒,reagent,48样,,,,,,,,,684,410.4,513,
ADS-W-KN005-48,艾迪生,苯丙氨酸解氨酶(PAL)试剂盒,reagent,48样,,,,,,,,,684,410.4,513,
ADS-W-KN005,艾迪生,苯丙氨酸解氨酶(PAL)试剂盒,reagent,96样,,,,,,,,,1292,775.2,969,
ADS-F-YH005-24,艾迪生,多酚氧化酶(PPO)试剂盒,reagent,24样,,,,,,,,,417,250.2,312.75,
ADS-F-YH005-48,艾迪生,多酚氧化酶(PPO)试剂盒,reagent,48样,,,,,,,,,623,373.8,467.25,
ADS-W-YH005-48,艾迪生,多酚氧化酶(PPO)试剂盒,reagent,48样,,,,,,,,,1216,729.6,912,
ADS-W-YH005-96,艾迪生,多酚氧化酶(PPO)试剂盒,reagent,96样,,,,,,,,,1333,799.8,999.75,
ADS-F-AJS004,艾迪生,脯氨酸(PRO)含量试剂盒,reagent,48样,,,,,,,,,760,456,570,
ADS-F-AJS004-96,艾迪生,脯氨酸(PRO)含量试剂盒,reagent,96样,,,,,,,,,1368,820.8,1026,
